Algorithm,Cost,Improvement
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.56776266980656, 70.8162738870777, 50.83019887888237, 53.41277441777646, 50.83019887888237]","[0, 10.998787057826585, 36.11709419326073, 32.8713380575612, 36.11709419326073]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[80.07505158168303, 72.63945813278502, 59.917599368221616, 68.04093295307997, 59.917599368221616]","[0, 9.285780404790744, 25.173199161662957, 15.028549330782859, 25.173199161662957]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[77.27217749018749, 71.90457442941687, 50.83019887888237, 69.51239943312166, 50.83019887888237]","[0, 6.946359265535428, 34.21927460846162, 10.042137169036316, 34.21927460846162]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.77294265427362, 72.63945813278502, 59.70943246849412, 71.90457442941687, 59.70943246849412]","[0, 8.942235655520776, 25.150771073761625, 9.863454904700355, 25.150771073761625]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[75.94078640253555, 78.22865293726939, 53.41277441777646, 71.29918753126864, 53.41277441777646]","[0, -3.0126979757710917, 29.665233996058426, 6.112129056266833, 29.665233996058426]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[82.63510105037234, 60.570237252760414, 50.83019887888237, 58.79283189921389, 50.83019887888237]","[0, 26.701563278977204, 38.48836846233476, 28.85247170766426, 38.48836846233476]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[72.03513147426273, 71.24580638312062, 55.73557374549223, 72.1791159847613, 55.73557374549223]","[0, 1.0957501915910568, 22.627233955412613, -0.19988095746033754, 22.627233955412613]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[81.06072241194025, 78.8561700940582, 55.76990797226263, 69.61759091010191, 55.76990797226263]","[0, 2.7196307314889125, 31.19983845092439, 14.116740094772167, 31.19983845092439]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[73.82043500119129, 59.29638174474301, 50.48751188821616, 53.75546140844267, 50.48751188821616]","[0, 19.674841060221187, 31.6076749108815, 27.180784822556, 31.6076749108815]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.88098939386992, 71.12597487964032, 59.709432468494114, 53.41277441777646, 59.709432468494114]","[0, 10.960072703983634, 25.252011872206204, 33.134560772133646, 25.252011872206204]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[74.19922741991891, 60.44699742278016, 59.74185645388507, 76.90618022563996, 59.74185645388507]","[0, 18.534195672025213, 19.48453032295689, -3.648222360054329, 19.48453032295689]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[78.80191721912736, 70.52027172066434, 58.038175384571936, 69.51239943312166, 58.038175384571936]","[0, 10.509446712361004, 26.349285102819174, 11.78844133978873, 26.349285102819174]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[78.0154180456433, 78.22865293726939, 50.83019887888237, 72.1791159847613, 50.83019887888237]","[0, -0.2733240389756452, 34.84595718099733, 7.480959798827776, 34.84595718099733]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.62145322052274, 53.41277441777646, 53.74551930542939, 76.90618022563996, 53.74551930542939]","[0, 30.290053016809566, 29.85578183861191, -0.3716021990574252, 29.85578183861191]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[92.49855046702854, 77.12688501241215, 74.00133609916728, 83.64705847849896, 74.00133609916728]","[0, 16.61827712651095, 19.997301876049033, 9.569330485546065, 19.997301876049033]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.6286102095403, 91.0002058025895, 75.56241044729373, 74.00133609916728, 75.56241044729373]","[0, -0.4100201825781612, 16.624109900187545, 18.34660607939313, 16.624109900187545]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.52754785479655, 79.5263892884453, 74.46016826895726, 83.64705847849896, 74.46016826895726]","[0, 11.17104042944635, 16.829880798563654, 6.568357468960359, 16.829880798563654]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[92.60588017973514, 76.41015813737549, 74.87007475836809, 101.96905232242227, 74.87007475836809]","[0, 17.48887004899257, 19.151921440565452, -10.110774957826132, 19.151921440565452]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[94.9982653873997, 85.30906183691991, 74.10873595815309, 92.55209991470257, 74.10873595815309]","[0, 10.199347862792594, 21.989379852421322, 2.5749580402565795, 21.989379852421322]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.9967082933186, 76.41015813737549, 74.82696604613437, 87.08042000506816, 74.82696604613437]","[0, 14.142714261363357, 15.92164757429351, 2.153212545720982, 15.92164757429351]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[94.36146998589659, 88.58880397460658, 74.87400780580995, 89.76802615203741, 74.87400780580995]","[0, 6.117609244697868, 20.65192729935138, 4.867923141241575, 20.65192729935138]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[94.83522854719256, 103.91904219084049, 75.16543127406942, 92.84305800945735, 75.16543127406942]","[0, -9.578522436024477, 20.741023746607958, 2.1006650885476046, 20.741023746607958]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[95.46838969926849, 76.4101581373755, 75.75947036795914, 73.99982631274878, 75.75947036795914]","[0, 19.96287108426949, 20.644445133508274, 22.487614438817968, 20.644445133508274]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[93.58150020474093, 85.30906183691991, 74.00133609916728, 102.62703752083914, 74.00133609916728]","[0, 8.839822347068907, 20.92311414407279, -9.665946043083363, 20.92311414407279]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[94.70078881568094, 92.33468211391036, 74.00133609916728, 83.64705847849896, 74.00133609916728]","[0, 2.4985079125114815, 21.857740548287982, 11.67226849471781, 21.857740548287982]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.49036308992483, 90.78471628106529, 75.03192628471831, 89.76802615203741, 75.03192628471831]","[0, -1.4463604196575022, 16.156417636475435, -0.31027146669811734, 16.156417636475435]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[98.05238712552091, 91.8759282816318, 74.09645065696662, 89.76802615203741, 74.09645065696662]","[0, 6.299141739387097, 24.43177282148909, 8.448913092629095, 24.43177282148909]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[92.25965173419432, 104.57702738925735, 73.99982631274878, 89.76802615203741, 73.99982631274878]","[0, -13.350771895985627, 19.791777963841888, 2.7006665810265997, 19.791777963841888]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.58124846556794, 76.4101581373755, 75.18196289560494, 82.8495197633884, 75.18196289560494]","[0, 13.740030242318621, 15.126548566507708, 6.470589206481432, 15.126548566507708]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.77216282255083, 91.0002058025895, 74.30785245197498, 92.33468211391036, 74.30785245197498]","[0, -6.095267751210474, 13.36600359990188, -7.651106227712084, 13.36600359990188]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.7727398854647, 104.57702738925735, 74.00133609916728, 84.26972339203508, 74.00133609916728]","[0, -21.92338443298263, 13.723945162549533, 1.7523242179702507, 13.723945162549533]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.0879989970232, 76.41015813737549, 75.06919125219, 92.84305800945735, 75.06919125219]","[0, 10.198666042142218, 11.774642561736254, -9.114163106251278, 11.774642561736254]"
