Algorithm,Cost,Improvement,Time Limit,No Improvement Limit
Local Search with No Improvement Limit,77.12688501241215,14.3218172859226,1,1
Local Search with 2-opt and No Improvement Limit,75.38909497373665,16.252281512869946,1,1
Random Search,87.37955953904543,0,1,1
Simple Local Search,75.29951626991665,13.824793044110997,1,1
2-opt Local Search,74.307852451975,14.959685258231776,1,1
Local Search with No Improvement Limit,83.7188617592787,4.189421186234016,1,1
Local Search with 2-opt and No Improvement Limit,74.307852451975,14.959685258231776,1,1
Random Search,87.07404516030287,0,1,1
Simple Local Search,75.29951626991665,13.522432394991382,1,1
2-opt Local Search,75.08986022351147,13.763211430832904,1,1
Local Search with No Improvement Limit,95.36624120559762,-9.523154724268126,1,1
Local Search with 2-opt and No Improvement Limit,75.08986022351147,13.763211430832904,1,1
Random Search,88.72912546793285,0,1,1
Simple Local Search,75.29951626991665,15.135513989563352,1,1
2-opt Local Search,74.10873595815309,16.47755394035033,1,1
